key,mean,ci_low,ci_high,classification,interpretation,individual_positive,individual_negative,individual_zero,block_positive,block_negative,block_zero
NAIVE|IID|ACTIVE_C0-RADIUS_C0|D40,0.0013020833333333333,-0.04134928385416667,0.04184163411458327,unresolved,carrier frequency change; first minus second arm,14,14,164,7,6,11
NAIVE|IID|ACTIVE_C0-RADIUS_C0|E1,-0.00026855468750000094,-0.0006461079915364494,0.0001475524902343652,unresolved,raw accuracy; first minus second arm,34,45,113,10,13,1
NAIVE|IID|ACTIVE_C0-RADIUS_C0|E2,-5.4931640624987045e-05,-0.0012156422932942386,0.0011587015787760421,unresolved,raw accuracy; first minus second arm,44,37,111,10,13,1
NAIVE|IID|ACTIVE_C0-RADIUS_C0|E3,0.0004506429036458444,-0.0007407379150390279,0.0016940053304036445,unresolved,raw accuracy; first minus second arm,43,39,110,14,9,1
NAIVE|IID|ACTIVE_C0-RADIUS_C0|E4,0.0005045572916666704,-0.0009725443522135406,0.0019370778401692794,unresolved,raw accuracy; first minus second arm,46,36,110,13,10,1
NAIVE|IID|ACTIVE_C0-RADIUS_C0|E5,0.0005299886067708462,-0.0006888326009114469,0.0017201741536458236,unresolved,raw accuracy; first minus second arm,41,39,112,13,10,1
NAIVE|IID|ACTIVE_C0-RADIUS_C0|E6,0.0007659912109375019,-0.000473098754882785,0.002003021240234371,unresolved,raw accuracy; first minus second arm,46,36,110,16,7,1
NAIVE|IID|ACTIVE_C0-RADIUS_C0|E7,0.000888061523437488,-0.0005446370442708697,0.0022232055664062195,unresolved,raw accuracy; first minus second arm,47,35,110,14,9,1
NAIVE|IID|ACTIVE_C0-RADIUS_C0|E8,-0.0003550211588541491,-0.0016724904378254942,0.0008333333333333379,unresolved,raw accuracy; first minus second arm,42,38,112,10,13,1
NAIVE|IID|ACTIVE_C0-RADIUS_C0|F,0.008406575520833329,-0.026003824869791668,0.04061330159505207,unresolved,carrier frequency; first minus second arm,30,51,111,11,12,1
NAIVE|IID|ACTIVE_C0-RADIUS_C0|F0,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
NAIVE|IID|ACTIVE_C0-RADIUS_C0|F1,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
NAIVE|IID|ACTIVE_C0-RADIUS_C0|F40,0.0013020833333333333,-0.04134928385416667,0.04184163411458327,unresolved,carrier frequency; first minus second arm,14,14,164,7,6,11
NAIVE|IID|ACTIVE_C0-RADIUS_C0|FE1,-0.002701822916666667,-0.010646158854166667,0.007165527343749978,unresolved,carrier frequency; first minus second arm,32,45,115,7,15,2
NAIVE|IID|ACTIVE_C0-RADIUS_C0|FE2,0.00517578125,-0.022721354166666662,0.03083089192708331,unresolved,carrier frequency; first minus second arm,25,38,129,12,10,2
NAIVE|IID|ACTIVE_C0-RADIUS_C0|FE3,0.024674479166666662,-0.012053222656250003,0.061003417968749994,unresolved,carrier frequency; first minus second arm,23,28,141,11,11,2
NAIVE|IID|ACTIVE_C0-RADIUS_C0|FE4,0.01770833333333333,-0.024482421875,0.05687255859374997,unresolved,carrier frequency; first minus second arm,21,20,151,11,9,4
NAIVE|IID|ACTIVE_C0-RADIUS_C0|FE5,0.011132812499999999,-0.031350097656250006,0.051660970052083324,unresolved,carrier frequency; first minus second arm,20,18,154,11,8,5
NAIVE|IID|ACTIVE_C0-RADIUS_C0|FE6,0.008268229166666663,-0.03289225260416667,0.049219563802083324,unresolved,carrier frequency; first minus second arm,17,16,159,11,7,6
NAIVE|IID|ACTIVE_C0-RADIUS_C0|FE7,0.002278645833333332,-0.04095540364583333,0.04440429687499998,unresolved,carrier frequency; first minus second arm,16,16,160,10,7,7
NAIVE|IID|ACTIVE_C0-RADIUS_C0|FE8,0.0007161458333333337,-0.04212483723958333,0.041636555989583324,unresolved,carrier frequency; first minus second arm,15,15,162,9,7,8
NAIVE|IID|ACTIVE_C0-RADIUS_C0|MLOSS,-0.00030759175618487916,-0.0007908693949381301,0.00019305547078451112,unresolved,raw mismatch; first minus second arm,33,49,110,9,14,1
NAIVE|IID|ACTIVE_C0-RADIUS_C0|U,0.0003075917561848607,-0.00019305547078453747,0.0007908693949381109,unresolved,raw accuracy; first minus second arm,49,33,110,14,9,1
NAIVE|IID|ACTIVE_C0-RADIUS_C0|U0,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
NAIVE|IID|ACTIVE_C0-RADIUS_C0|U1,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
NAIVE|IID|ACTIVE_C0-RADIUS_C0|U40,-0.0025990804036458335,-0.0057220458984375,0.000269826253255207,unresolved,raw accuracy; first minus second arm,31,51,110,8,15,1
NAIVE|IID|ACTIVE_C0|D40,0.07275390625,0.029756673177083335,0.11850585937499991,positive,carrier frequency change; absolute,21,171,0,13,11,0
NAIVE|IID|ACTIVE_C0|E1,0.60828857421875,0.6052997843424479,0.6116028340657552,positive,raw accuracy; absolute,192,0,0,24,0,0
NAIVE|IID|ACTIVE_C0|E2,0.6142771402994792,0.6123901112874349,0.6162975311279296,positive,raw accuracy; absolute,192,0,0,24,0,0
